Date,Close,Volume,Open,High,Low,Adjusted Close
2008/11/03,2.23,96523.0,2.38,2.38,2.2,2.23
2008/11/04,2.2,66440.0,2.01,2.3,2.01,2.2
2008/11/05,2.31,97388.0,2.1,2.31,2.1,2.31
2008/11/06,2.12,65266.0,2.2,2.33,2.09,2.12
2008/11/07,2.0,176410.0,2.08,2.09,1.85,2.0
2008/11/10,1.99,70638.0,1.97,2.03,1.96,1.99
2008/11/11,2.05,99566.0,1.98,2.0699,1.98,2.05
2008/11/12,2.02,36400.0,2.03,2.0499,2.0,2.02
2008/11/13,2.24,71009.0,2.05,2.24,2.02,2.24
2008/11/14,2.29,14296.0,2.27,2.34,2.16,2.29
2008/11/17,2.22,13029.0,2.22,2.26,2.11,2.22
2008/11/18,2.72,88798.0,2.11,2.72,2.0,2.72
2008/11/19,2.28,35200.0,2.7,2.7,2.12,2.28
2008/11/20,2.0,75373.0,2.24,2.3,2.0,2.0
2008/11/21,2.05,41200.0,2.08,2.28,1.95,2.05
2008/11/24,2.22,32000.0,2.15,2.3,2.0,2.22
2008/11/25,2.2,35600.0,2.11,2.2,2.06,2.2
2008/11/26,2.36,36199.0,2.2,2.36,2.12,2.36
2008/11/28,2.35,5820.0,2.3299,2.3799,2.31,2.35
2008/12/01,2.25,26897.0,2.3,2.31,2.17,2.25
2008/12/02,2.5,25692.0,2.17,2.5,2.15,2.5
2008/12/03,2.28,52769.0,2.42,2.42,2.2,2.28
2008/12/04,2.15,34940.0,2.32,2.32,2.13,2.15
2008/12/05,2.02,77613.0,2.19,2.19,2.0,2.02
2008/12/08,2.0,49094.0,2.16,2.16,1.96,2.0
2008/12/09,1.99,49296.0,2.04,2.09,1.96,1.99
2008/12/10,2.04,33775.0,2.0,2.05,1.98,2.04
2008/12/11,2.0199,40370.0,2.03,2.03,2.0,2.0199
2008/12/12,2.11,53239.0,2.0,2.11,1.95,2.11
2008/12/15,1.95,43224.0,2.06,2.1193,1.88,1.95
2008/12/16,1.87,67171.0,2.0,2.0,1.86,1.87
2008/12/17,1.83,22216.0,1.78,1.92,1.76,1.83
2008/12/18,1.78,35642.0,1.85,1.8601,1.78,1.78
2008/12/19,1.86,54115.0,1.82,1.86,1.66,1.86
2008/12/22,1.78,195231.0,1.84,1.93,1.73,1.78
2008/12/23,1.8,301223.0,1.77,1.97,1.75,1.8
2008/12/24,1.95,38476.0,1.81,1.98,1.81,1.95
2008/12/26,1.93,13300.0,1.93,2.0,1.92,1.93
2008/12/29,1.86,82977.0,1.99,1.99,1.75,1.86
2008/12/30,1.84,41300.0,1.88,1.94,1.83,1.84
2008/12/31,2.01,60575.0,1.79,2.05,1.79,2.01
2009/01/02,2.14,41867.0,2.01,2.15,2.01,2.14
2009/01/05,2.28,65940.0,2.13,2.39,2.1,2.28
2009/01/06,2.34,39863.0,2.39,2.39,2.29,2.34
